rank, kata, kemunculan, kata * kemunculan
94,terkait,86,8084
95,secara,85,8075
96,merupakan,85,8160
97,setelah,84,8148
98,lagi,84,8232
99,bahwa,83,8217
100,2,83,8300
101,belum,82,8282
102,wilayah,81,8262
103,Polri,81,8343
104,sampai,81,8424
105,para,77,8085
106,lain,77,8162
107,beberapa,75,8025
108,keamanan,74,7992
109,daerah,74,8066
110,besar,73,8030
111,atas,73,8103
112,TNI,72,8064
113,Kepala,72,8136
114,kantor,71,8094
115,1,71,8165
116,melalui,71,8236
117,pelaku,71,8307
118,dapat,70,8260
119,pihak,70,8330
120,meminta,70,8400
121,Ia,70,8470
122,10,70,8540
123,mobil,68,8364
124,Sementara,67,8308
125,salah,67,8375
126,bersama,67,8442
127,polisi,67,8509
128,seperti,67,8576
129,Selain,66,8514
130,sedang,65,8450
131,Selatan,65,8515
132,saja,64,8448
133,rasa,64,8512
134,tindakan,64,8576
135,DPRD,62,8370
136,Jabar,62,8432
137,diri,62,8494
138,sama,62,8556
139,sejak,62,8618
140,Menurut,62,8680
141,seluruh,61,8601
142,lokasi,61,8662
143,memiliki,61,8723
144,kasus,61,8784
145,Kami,60,8700
146,selama,60,8760
147,sangat,60,8820
148,sekitar,59,8732
149,membuat,59,8791
150,informasi,59,8850
151,Agustus,59,8909
152,sejumlah,59,8968
153,Saya,58,8874
154,yakni,58,8932
155,Hal,58,8990
156,Kita,56,8736
157,kerusuhan,56,8792
158,kembali,56,8848
159,hukum,56,8904
160,bukan,55,8800
161,Saat,55,8855
162,air,55,8910
163,depan,54,8802
164,tentang,54,8856
165,tersangka,54,8910
166,Ketua,53,8798
167,banyak,53,8851
168,pembunuhan,52,8736
169,media,52,8788
170,katanya,52,8840
171,baik,52,8892
172,Polda,52,8944
173,sebelumnya,52,8996
174,pemindahan,51,8874
175,hal,51,8925
176,langsung,51,8976
177,pimpinan,50,8850
178,situasi,50,8900
179,layanan,50,8950
180,tetap,50,9000
181,Di,50,9050
182,negara,49,8918
183,kondisi,49,8967
184,terus,49,9016
185,3,49,9065
186,kalau,49,9114
187,Aulia,49,9163
188,juta,48,9024
189,semua,48,9072
190,Kalau,48,9120
191,Provinsi,48,9168
192,lanjut,48,9216
193,Gubernur,48,9264
194,bagi,48,9312
195,membakar,48,9360
196,tapi,47,9212
197,Undang,47,9259
198,Pemerintah,47,9306
199,demo,47,9353
200,Partai,47,9400
201,kemudian,47,9447
202,ia,47,9494
203,Karena,47,9541
204,aparat,47,9588
205,ingin,47,9635
206,Bandung,46,9476
207,keluarga,46,9522
208,masing,46,9568
209,nama,46,9614
210,menjelaskan,45,9450
211,menyampaikan,45,9495
212,tempat,45,9540
213,Sebelumnya,44,9372
214,Gedung,44,9416
215,jenazah,44,9460
216,empat,44,9504
217,masuk,44,9548
218,jika,44,9592
219,jadi,44,9636
220,keterangan,44,9680
221,sempat,43,9503
222,uang,43,9546
223,Widodo,43,9589
224,persen,43,9632
225,Joko,43,9675
226,hasil,43,9718
227,AK,43,9761
228,sertifikat,43,9804
229,Dia,43,9847
230,Pusat,43,9890
231,antara,42,9702
232,sebuah,42,9744
233,Surabaya,42,9786
234,mengaku,42,9828
235,malam,42,9870
236,Anies,42,9912
237,luka,42,9954
238,Dari,42,9996
239,berada,42,10038
240,menyebut,42,10080
241,waktu,42,10122
242,masalah,42,10164
243,Menteri,42,10206
244,memberikan,42,10248
245,unjuk,41,10045
246,awal,41,10086
247,petugas,41,10127
248,seorang,41,10168
249,apa,41,10209
250,kedua,41,10250
251,enggak,40,10040
252,Kalimantan,40,10080
253,Edi,40,10120
254,publik,40,10160
255,calon,40,10200
256,undang,40,10240
257,Rabu,40,10280
258,kawasan,40,10320
259,adanya,40,10360
260,nanti,40,10400
261,bulan,40,10440
262,Wiranto,39,10218
263,tengah,39,10257
264,tokoh,39,10296
265,rapat,39,10335
266,berharap,39,10374
267,Ada,39,10413
268,pernah,39,10452
269,Setelah,39,10491
270,sehingga,39,10530
271,dugaan,39,10569
272,gempa,39,10608
273,KPU,39,10647
274,jalan,39,10686
275,ditemukan,39,10725
276,menuju,39,10764
277,5,38,10526
278,tanah,38,10564
279,28,38,10602
280,Dalam,38,10640
281,rencana,38,10678
282,menggelar,38,10716
283,kan,38,10754
284,kursi,38,10792
285,pukul,38,10830
286,RI,37,10582
287,terpilih,37,10619
288,Bekasi,37,10656
289,kepolisian,37,10693
290,perlu,37,10730
291,memang,37,10767
292,pidana,37,10804
293,disampaikan,36,10548
294,api,36,10584
295,politik,36,10620
296,pemerintahan,36,10656
297,Kecamatan,36,10692
298,Bambang,36,10728
299,kejadian,36,10764
300,RUU,36,10800
301,000,36,10836
302,Adam,36,10872
303,personel,36,10908
304,Badan,36,10944
305,sekolah,36,10980
306,Jadi,36,11016
307,mengalami,35,10745
308,memastikan,35,10780
309,Pada,35,10815
310,sendiri,35,10850
311,tiga,35,10885
312,motor,35,10920
313,partai,35,10955
314,maupun,35,10990
315,menggunakan,35,11025
316,lainnya,35,11060
317,sakit,35,11095
318,Utara,35,11130
319,demikian,34,10846
320,pers,34,10880
321,kendaraan,34,10914
322,KV,34,10948
323,diketahui,34,10982
324,Dana,34,11016
325,pagi,34,11050
326,Kemudian,34,11084
327,mendapatkan,34,11118
328,China,34,11152
329,bakar,33,10857
330,pertama,33,10890
331,Untuk,33,10923
332,kemarin,33,10956
333,kelompok,33,10989
334,percaya,33,11022
335,ucap,33,11055
336,Komisi,33,11088
337,RS,33,11121
338,dihubungi,33,11154
339,SIM,33,11187
340,Ini,33,11220
341,membantu,33,11253
342,diduga,33,11286
343,kekerasan,32,10976
344,mendapat,32,11008
345,HP,32,11040
346,proses,32,11072
347,suami,32,11104
348,ketika,32,11136
349,4,32,11168
350,Pansel,32,11200
351,menerima,32,11232
352,berinisial,32,11264
353,alias,32,11296
354,dirinya,31,10974
355,Tidak,31,11005
356,anaknya,31,11036
357,MPR,31,11067
358,20,31,11098
359,video,31,11129
360,menyebutkan,31,11160
361,Mereka,31,11191
362,capim,31,11222
363,kerja,31,11253
364,aktivitas,31,11284
365,mana,30,10950
366,ruang,30,10980
367,mau,30,11010
368,Tengah,30,11040
369,laporan,30,11070
370,sementara,30,11100
371,Senin,30,11130
372,titik,30,11160
373,berbagai,30,11190
374,draf,30,11220
375,Umum,30,11250
376,mengenai,30,11280
377,datang,30,11310
378,termasuk,30,11340
379,konferensi,30,11370
380,Negara,30,11400
381,Dinas,30,11430
382,segera,30,11460
383,pengendara,30,11490
384,Wakil,30,11520
385,lama,30,11550
386,hilang,29,11194
387,terakhir,29,11223
388,Tahun,29,11252
389,WIB,29,11281
390,anarkistis,29,11310
391,sesuai,29,11339
392,pria,29,11368
393,dialog,29,11397
394,pasal,29,11426
395,sebagian,29,11455
396,terbakar,29,11484
397,Hukum,29,11513
398,tinggal,28,11144
399,Polisi,28,11172
400,pemeriksaan,28,11200
401,berdasarkan,28,11228
402,pihaknya,28,11256
403,tewas,28,11284
404,damai,28,11312
405,pusat,28,11340
406,kali,28,11368
407,sana,28,11396
408,militer,28,11424
409,Bahkan,28,11452
410,menyerahkan,28,11480
411,Itu,28,11508
412,Universitas,28,11536
413,milik,28,11564
414,presiden,28,11592
415,sosial,28,11620
416,Golkar,28,11648
417,Metro,28,11676
418,kajian,27,11286
419,tinggi,27,11313
420,Aksi,27,11340
421,paling,27,11367
422,RKUHP,27,11394
423,merasa,27,11421
424,surat,27,11448
425,kondusif,27,11475
426,Jaya,27,11502
427,nomor,27,11529
428,istrinya,27,11556
429,ditemui,27,11583
430,masa,27,11610
431,sebesar,27,11637
432,miliar,27,11664
433,00,26,11258
434,RT,26,11284
435,suaminya,26,11310
436,asal,26,11336
437,Kementerian,26,11362
438,konflik,26,11388
439,bantuan,26,11414
440,guna,26,11440
441,jumlah,26,11466
442,tim,26,11492
443,jenis,26,11518
444,bunuh,26,11544
445,cepat,26,11570
446,menyatakan,26,11596
447,pekan,26,11622
448,6,26,11648
449,umum,26,11674
450,program,25,11250
451,tindak,25,11275
452,orangtua,25,11300
453,Daerah,25,11325
454,sekarang,25,11350
455,Polres,25,11375
456,Bidang,25,11400
457,istri,25,11425
458,anarkis,25,11450
459,hukuman,25,11475
460,periode,25,11500
461,31,25,11525
462,tetapi,25,11550
463,benar,25,11575
464,menilai,25,11600
465,Pemprov,25,11625
466,gedung,25,11650
467,Tangerang,25,11675
468,akun,25,11700
469,mulai,24,11256
470,lintas,24,11280
471,Yang,24,11304
472,berujung,24,11328
473,pembakaran,24,11352
474,Berdasarkan,24,11376
475,SBY,24,11400
476,tahu,24,11424
477,pembangunan,24,11448
478,tiba,24,11472
479,ujarnya,24,11496
480,Edy,24,11520
481,Awan,24,11544
482,100,23,11086
483,akses,23,11109
484,cara,23,11132
485,Dewan,23,11155
486,Massa,23,11178
487,Rakyat,23,11201
488,bencana,23,11224
489,penjara,23,11247
490,setempat,23,11270
491,dunia,23,11293
492,Sebab,23,11316
493,bahkan,23,11339
494,Dengan,23,11362
495,yaitu,23,11385
496,hadir,23,11408
497,pendidikan,23,11431
498,dikonfirmasi,23,11454
499,dana,23,11477
500,keberatan,22,11000
501,Adi,22,11022
502,melanggar,22,11044
503,Nasional,22,11066
504,langkah,22,11088
505,Pemilu,22,11110
506,wartawan,22,11132
507,bidang,22,11154
508,dekat,22,11176
509,menteri,22,11198
510,sebelum,22,11220
511,11,22,11242
512,bukti,22,11264
513,digelar,22,11286
514,barang,22,11308
515,bagian,22,11330
516,ya,22,11352
517,meter,22,11374
518,Baru,22,11396
519,berita,22,11418
520,cukup,22,11440
521,Chandra,22,11462
522,Warga,22,11484
523,namun,22,11506
524,lembaga,22,11528
525,rumahnya,21,11025
526,ikut,21,11046
527,perempuan,21,11067
528,2018,21,11088
529,lakukan,21,11109
530,keras,21,11130
531,satunya,21,11151
532,meningkatkan,21,11172
533,Pasal,21,11193
534,peristiwa,21,11214
535,Tersangka,21,11235
536,Adapun,21,11256
537,Ambon,21,11277
538,Nomor,21,11298
539,AKBP,21,11319
540,Rikson,21,11340
541,perusakan,21,11361
542,hati,21,11382
543,kesehatan,21,11403
544,meninggal,21,11424
545,dibakar,21,11445
546,teman,21,11466
547,Bupati,21,11487
548,Rumah,21,11508
549,Nira,21,11529
550,online,21,11550
551,mencoba,21,11571
552,2024,21,11592
553,Sumedang,21,11613
554,menambahkan,21,11634
555,maka,21,11655
556,membunuh,21,11676
557,Nasir,20,11140
558,kebakaran,20,11160
559,Eko,20,11180
560,Benhur,20,11200
561,penting,20,11220
562,Kebon,20,11240
563,berjalan,20,11260
564,setiap,20,11280
565,tampak,20,11300
566,kapal,20,11320
567,Meski,20,11340
568,bekerja,20,11360
569,tutur,20,11380
570,perkantoran,20,11400
571,tadi,20,11420
572,kecil,20,11440
573,ungkap,20,11460
574,UU,20,11480
575,pasukan,20,11500
576,pasti,20,11520
577,memilih,20,11540
578,bersih,20,11560
579,melihat,20,11580
580,Kampung,20,11600
581,rasisme,20,11620
582,aturan,20,11640
583,pengganti,20,11660
584,sore,20,11680
585,senjata,20,11700
586,luar,20,11720
587,Pulau,20,11740
588,Jeruk,20,11760
589,biaya,19,11191
590,Fraksi,19,11210
591,25,19,11229
592,60,19,11248
593,Ya,19,11267
594,sebanyak,19,11286
595,Deiyai,19,11305
596,akibat,19,11324
597,dulu,19,11343
598,wacana,19,11362
599,AS,19,11381
600,19,19,11400
601,Pupung,19,11419
602,minta,19,11438
603,akhirnya,19,11457
604,diterima,19,11476
605,PKS,19,11495
606,siap,19,11514
607,aman,19,11533
608,Tapi,19,11552
609,Pidie,19,11571
610,usia,19,11590
611,lima,19,11609
612,telekomunikasi,19,11628
613,selesai,19,11647
614,pertemuan,19,11666
615,9,19,11685
616,pula,19,11704
617,sipil,19,11723
618,eksekutor,19,11742
619,II,19,11761
620,sekaligus,19,11780
621,Korupsi,19,11799
622,berhasil,19,11818
623,Humas,19,11837
624,nyawa,19,11856
625,Begitu,19,11875
626,mengungkapkan,19,11894
627,SPBU,19,11913
628,seksual,19,11932
629,berlangsung,19,11951
630,tegas,19,11970
631,pelayanan,19,11989
632,Kamil,18,11376
633,Ridwan,18,11394
634,persoalan,18,11412
635,Pimpinan,18,11430
636,seleksi,18,11448
637,resmi,18,11466
638,mencegah,18,11484
639,Dedi,18,11502
640,diberikan,18,11520
641,Erick,18,11538
642,Istana,18,11556
643,Calvin,18,11574
644,PSI,18,11592
645,Siti,18,11610
646,terlihat,18,11628
647,jangan,18,11646
648,boleh,18,11664
649,Desa,18,11682
650,Entrop,18,11700
651,2016,18,11718
652,mencapai,18,11736
653,soal,18,11754
654,muncul,18,11772
655,hidup,18,11790
656,siapa,18,11808
657,pembahasan,18,11826
658,kepala,18,11844
659,Sekretaris,18,11862
660,Kesehatan,18,11880
661,mengambil,18,11898
662,14,18,11916
663,menyikapi,18,11934
664,Solo,18,11952
665,tirinya,18,11970
666,mengungsi,17,11322
667,ditangkap,17,11339
668,menjamin,17,11356
669,fakta,17,11373
670,roda,17,11390
671,unit,17,11407
672,September,17,11424
673,Arzum,17,11441
674,berlaku,17,11458
675,Walini,17,11475
676,15,17,11492
677,arah,17,11509
678,Sertu,17,11526
679,sini,17,11543
680,27,17,11560
681,menjalani,17,11577
682,biasa,17,11594
683,mati,17,11611
684,mungkin,17,11628
685,ayam,17,11645
686,Raya,17,11662
687,per,17,11679
688,bangsa,17,11696
689,utang,17,11713
690,Sukabumi,17,11730
691,menegaskan,17,11747
692,Lapas,17,11764
693,M,17,11781
694,menjaga,17,11798
695,Sabtu,17,11815
696,semakin,17,11832
697,terdapat,17,11849
698,data,17,11866
699,Selasa,17,11883
700,kuat,17,11900
701,suara,17,11917
702,bakal,17,11934
703,total,17,11951
704,mendorong,17,11968
705,Pertanahan,17,11985
706,risiko,17,12002
707,adat,17,12019
708,Tim,17,12036
709,isu,16,11344
710,Maluku,16,11360
711,Salah,16,11376
712,pemakaman,16,11392
713,terbatas,16,11408
714,jam,16,11424
715,perkara,16,11440
716,Kelurahan,16,11456
717,Seperti,16,11472
718,dibawa,16,11488
719,penetapan,16,11504
720,Oleh,16,11520
721,mengimbau,16,11536
722,kurang,16,11552
723,mengamankan,16,11568
724,Purnama,16,11584
725,kemungkinan,16,11600
726,2014,16,11616
727,Andi,16,11632
728,telepon,16,11648
729,keluar,16,11664
730,pengembangan,16,11680
731,protes,16,11696
732,pencari,16,11712
733,tingkat,16,11728
734,rakyat,16,11744
735,begitu,16,11760
736,pegawai,16,11776
737,Nasriadi,16,11792
738,perbuatan,16,11808
739,Pradana,16,11824
740,lewat,16,11840
741,punya,16,11856
742,Majelis,16,11872
743,korupsi,16,11888
744,sepeda,16,11904
745,menuturkan,16,11920
746,bagaimana,16,11936
747,Tri,16,11952
748,acara,16,11968
749,26,16,11984
750,mengumumkan,16,12000
751,ketua,16,12016
752,bendera,16,12032
753,membawa,15,11295
754,7,15,11310
755,suaka,15,11325
756,Nasdem,15,11340
757,Direktur,15,11355
758,jaga,15,11370
759,dokumen,15,11385
760,terlibat,15,11400
761,ketiga,15,11415
762,Masyarakat,15,11430
763,mengundang,15,11445
764,Lembaga,15,11460
765,ribuan,15,11475
766,fasilitas,15,11490
767,lapangan,15,11505
768,kebijakan,15,11520
769,PT,15,11535
770,mencari,15,11550
771,Jenderal,15,11565
772,denda,15,11580
773,merusak,15,11595
774,operasi,15,11610
775,melarikan,15,11625
776,mengatur,15,11640
777,membuka,15,11655
778,24,15,11670
779,menghabisi,15,11685
780,dikutip,15,11700
781,Tak,15,11715
782,sisi,15,11730
783,kegiatan,15,11745
784,Pemberantasan,15,11760
785,terpidana,15,11775
786,Cirebon,15,11790
787,bus,15,11805
788,usai,15,11820
789,Kompleks,15,11835
790,Berikut,15,11850
791,keadaan,15,11865
792,menyiapkan,15,11880
793,mendatang,15,11895
794,alasan,15,11910
795,hak,15,11925
796,tanpa,15,11940
797,pesan,14,11158
798,peraturan,14,11172
799,kini,14,11186
800,Surakarta,14,11200
801,diberi,14,11214
802,I,14,11228
803,Kapolres,14,11242
804,jauh,14,11256
805,nasional,14,11270
806,aspirasi,14,11284
807,nantinya,14,11298
808,Azriana,14,11312
809,selalu,14,11326
810,dibunuh,14,11340
811,lahan,14,11354
812,sering,14,11368
813,beasiswa,14,11382
814,pemilik,14,11396
815,bekas,14,11410
816,tugas,14,11424
817,bisnis,14,11438
818,kelas,14,11452
819,jelas,14,11466
820,hampir,14,11480
821,menyelesaikan,14,11494
822,Perhubungan,14,11508
823,0,14,11522
824,Kramat,14,11536
825,Abepura,14,11550
826,lihat,14,11564
827,pleno,14,11578
828,Polsek,14,11592
829,memindahkan,14,11606
830,peserta,14,11620
831,Samuel,14,11634
832,Sunu,14,11648
833,Anggota,14,11662
834,Jati,14,11676
835,Kutai,14,11690
836,sebenarnya,14,11704
837,betul,14,11718
838,listrik,14,11732
839,Febri,14,11746
840,enam,14,11760
841,warung,14,11774
842,digunakan,14,11788
843,kampung,14,11802
844,Koordinator,14,11816
845,tubuh,14,11830
846,kaki,14,11844
847,antaranya,14,11858
848,Keluarga,14,11872
849,semuanya,14,11886
850,Merdeka,14,11900
851,lantaran,14,11914
852,khususnya,14,11928
853,Tanah,14,11942
854,bernama,14,11956
855,sidang,14,11970
856,sepanjang,14,11984
857,belakang,14,11998
858,penuh,14,12012
859,ucapnya,14,12026
860,revisi,13,11180
861,Kabinet,13,11193
862,agama,13,11206
863,masjid,13,11219
864,pindah,13,11232
865,upaya,13,11245
866,Pak,13,11258
867,Medan,13,11271
868,penyidik,13,11284
869,Iwa,13,11297
870,Parlemen,13,11310
871,nilai,13,11323
872,Politik,13,11336
873,Facebook,13,11349
874,17,13,11362
875,melaporkan,13,11375
876,Inosentius,13,11388
877,Pidana,13,11401
878,uji,13,11414
879,rasial,13,11427
880,Padahal,13,11440
881,menyewa,13,11453
882,BNPB,13,11466
883,RSUD,13,11479
884,khusus,13,11492
885,penyakit,13,11505
886,ruko,13,11518
887,kepentingan,13,11531
888,kotak,13,11544
889,pelanggaran,13,11557
890,meraih,13,11570
891,Telkomsel,13,11583
892,BPJS,13,11596
893,Pol,13,11609
894,DPP,13,11622
895,caleg,13,11635
896,apabila,13,11648
897,perhatian,13,11661
898,tangga,13,11674
899,12,13,11687
900,pengurus,13,11700
901,pembunuh,13,11713
902,Sebanyak,13,11726
903,sekali,13,11739
904,A,13,11752
905,Liza,13,11765
906,bermasalah,13,11778
907,berusia,13,11791
908,bayaran,13,11804
909,siang,13,11817
910,Hari,13,11830
911,ancaman,13,11843
912,Distrik,13,11856
913,menimbulkan,13,11869
914,penambahan,13,11882
915,Ria,13,11895
916,justru,13,11908
917,memeriksa,13,11921
918,mampu,13,11934
919,mudah,13,11947
920,500,13,11960
921,Panitia,13,11973
922,amal,13,11986
923,persegi,13,11999
924,gabungan,12,11088
925,Negeri,12,11100
926,usaha,12,11112
927,menurut,12,11124
928,bersifat,12,11136
929,melibatkan,12,11148
930,berasal,12,11160
931,ayah,12,11172
932,tepat,12,11184
933,perekonomian,12,11196
934,sedikit,12,11208
935,Anumerta,12,11220
936,oknum,12,11232
937,kereta,12,11244
938,imbauan,12,11256
939,Lebak,12,11268
940,Aris,12,11280
941,terlalu,12,11292
942,200,12,11304
943,Korlantas,12,11316
944,Komarudin,12,11328
945,sampah,12,11340
946,dasar,12,11352
947,fraksi,12,11364
948,Wali,12,11376
949,23,12,11388
950,Komunikasi,12,11400
951,genap,12,11412
952,Brigjen,12,11424
953,kompleks,12,11436
954,menentukan,12,11448
955,mantan,12,11460
956,MD3,12,11472
957,Minggu,12,11484
958,besok,12,11496
959,Pengadilan,12,11508
960,Jangan,12,11520
961,dieksekusi,12,11532
962,dibuat,12,11544
963,sampaikan,12,11556
964,membayar,12,11568
965,foto,12,11580
966,jalur,12,11592
967,Polhukam,12,11604
968,ungkapnya,12,11616
969,Pendidikan,12,11628
970,terbuka,12,11640
971,lulusan,12,11652
972,Gufron,12,11664
973,BMKG,12,11676
974,prestasi,12,11688
975,dilaporkan,12,11700
976,Kesuma,12,11712
977,gangguan,12,11724
978,Sakit,12,11736
979,bawah,12,11748
980,mendukung,12,11760
981,Ibu,12,11772
982,sumur,12,11784
983,Agus,12,11796
984,Uu,12,11808
985,bicara,12,11820
986,diserahkan,12,11832
987,kunjungan,12,11844
988,MRP,12,11856
989,membenarkan,12,11868
990,berusaha,12,11880
991,sesama,12,11892
992,berupa,12,11904
993,menduga,12,11916
994,terbaik,12,11928
995,Bulus,12,11940
996,Telkom,12,11952
997,Eka,12,11964
998,ekonomi,12,11976
999,Angkatan,12,11988
1000,fisik,11,11000
1001,sambil,11,11011
1002,buat,11,11022
1003,Lalu,11,11033
1004,Fakultas,11,11044
1005,menolak,11,11055
1006,disebut,11,11066
1007,Baswedan,11,11077
1008,Sebagai,11,11088
1009,potensi,11,11099
1010,penyelidikan,11,11110
1011,Hong,11,11121
1012,Diberitakan,11,11132
1013,berjaga,11,11143
1014,Operasi,11,11154
1015,provinsi,11,11165
1016,ditahan,11,11176
1017,memerintahkan,11,11187
1018,Apalagi,11,11198
1019,putusan,11,11209
1020,Riau,11,11220
1021,negeri,11,11231
1022,viral,11,11242
1023,pendekatan,11,11253
1024,penyebab,11,11264
1025,kehilangan,11,11275
1026,Bengek,11,11286
1027,Kendati,11,11297
1028,RW,11,11308
1029,proyek,11,11319
1030,guru,11,11330
1031,Para,11,11341
1032,seusai,11,11352
1033,aset,11,11363
1034,sikap,11,11374
1035,menghadapi,11,11385
1036,Sehingga,11,11396
1037,RTRW,11,11407
1038,menunggu,11,11418
1039,Habibah,11,11429
1040,tertulis,11,11440
1041,bernyanyi,11,11451
1042,apakah,11,11462
1043,and,11,11473
1044,kesempatan,11,11484
1045,saksi,11,11495
1046,membeli,11,11506
1047,dimakamkan,11,11517
1048,mengakui,11,11528
1049,Demokrat,11,11539
1050,Susanti,11,11550
1051,pedagang,11,11561
1052,Balai,11,11572
1053,menemukan,11,11583
1054,minuman,11,11594
1055,hakim,11,11605
1056,Sudiran,11,11616
1057,pengumuman,11,11627
1058,tata,11,11638
1059,Sorong,11,11649
1060,sepakat,11,11660
1061,bertindak,11,11671
1062,Informasi,11,11682
1063,hangus,11,11693
1064,Kong,11,11704
1065,eks,11,11715
1066,menjual,11,11726
1067,rusuh,11,11737
1068,berarti,11,11748
1069,ganjil,11,11759
1070,Program,11,11770
1071,utama,11,11781
1072,Bapak,11,11792
1073,mengikuti,11,11803
1074,balik,11,11814
1075,akrab,11,11825
1076,Kepolisian,11,11836
1077,Hinsa,11,11847
1078,tertentu,11,11858
1079,menyebabkan,11,11869
1080,08,11,11880
1081,lumba,11,11891
1082,Keamanan,11,11902
1083,mata,11,11913
1084,saudara,11,11924
1085,Kondisi,11,11935
1086,2017,11,11946
1087,membutuhkan,11,11957
1088,banjir,11,11968
1089,melaksanakan,11,11979
1090,54,11,11990
1091,Hingga,10,10910
1092,internasional,10,10920
1093,dibandingkan,10,10930
1094,pisang,10,10940
1095,sekitarnya,10,10950
1096,fokus,10,10960
1097,Seleksi,10,10970
1098,Cibubur,10,10980
1099,tanker,10,10990
1100,Yenti,10,11000
1101,jaringan,10,11010
1102,internet,10,11020
1103,panah,10,11030
1104,jatuh,10,11040
1105,pemilu,10,11050
1106,Asbulloh,10,11060
1107,faktor,10,11070
1108,pos,10,11080
1109,berisi,10,11090
1110,infrastruktur,10,11100
1111,swasta,10,11110
1112,perzinaan,10,11120
1113,peti,10,11130
1114,bohong,10,11140
1115,memasuki,10,11150
1116,Wibi,10,11160
1117,Iran,10,11170
1118,kabel,10,11180
1119,Peraturan,10,11190
1120,keputusan,10,11200
1121,naskah,10,11210
1122,ayat,10,11220
1123,hubungan,10,11230
1124,otak,10,11240
1125,Purn,10,11250
1126,Koti,10,11260
1127,Kedokteran,10,11270
1128,pintu,10,11280
1129,taksi,10,11290
1130,pulang,10,11300
1131,Festival,10,11310
1132,2015,10,11320
1133,dibutuhkan,10,11330
1134,Juli,10,11340
1135,Bogor,10,11350
1136,pengamanan,10,11360
1137,Artinya,10,11370
1138,samping,10,11380
1139,kebiri,10,11390
1140,Muhaimin,10,11400
1141,mengusulkan,10,11410
1142,sistem,10,11420
1143,pencarian,10,11430
1144,situ,10,11440
1145,HI,10,11450
1146,hotel,10,11460
1147,ketentuan,10,11470
1148,Borobudur,10,11480
1149,Senayan,10,11490
1150,obat,10,11500
1151,makanan,10,11510
1152,tanda,10,11520
1153,Agung,10,11530
1154,merah,10,11540
1155,rendah,10,11550
1156,kemarau,10,11560
1157,selatan,10,11570
1158,kesal,10,11580
1159,pengunjuk,10,11590
1160,jelasnya,10,11600
1161,kurungan,10,11610
1162,orangtuanya,10,11620
1163,Rapat,10,11630
1164,Refdi,10,11640
1165,wawancara,10,11650
1166,Taman,10,11660
1167,aplikasi,10,11670
1168,Lampung,10,11680
1169,50,10,11690
1170,asrama,10,11700
1171,Irjen,10,11710
1172,Ahmad,10,11720
1173,Sila,10,11730
1174,membangun,10,11740
1175,malah,10,11750
1176,Djauhar,10,11760
1177,Jumlah,10,11770
1178,dukungan,10,11780
1179,tidur,10,11790
1180,SMP,10,11800
1181,menjabat,10,11810
1182,lumpuh,10,11820
1183,berbeda,10,11830
1184,Muharram,10,11840
1185,Kodim,10,11850
1186,Sekretariat,10,11860
1187,35,10,11870
1188,horizontal,10,11880
1189,akademik,10,11890
1190,rangka,10,11900
1191,Muhammad,10,11910
1192,dianggap,10,11920
1193,memberi,10,11930
1194,kemampuan,10,11940
1195,ternyata,10,11950
1196,DPD,10,11960
1197,Jika,10,11970
1198,pendapat,9,10782
1199,kediamannya,9,10791
1200,tanggal,9,10800
1201,Husen,9,10809
